Title,Latitude,Longitude 
Express de Lider,-33.396312,-70.582006
Lider,-33.4536853,-70.6010681
Express de Lider,-33.4557935,-70.6269773
Lider,-33.4216168,-70.5811095
Express de Lider,-33.4535898,-70.5739724
Express de Lider,-33.4538146,-70.6060457
Express de Lider,-33.4496918,-70.6214523
Express de Lider,-33.4560281,-70.6150697
Express de Lider,-33.4730214,-70.6065521
Express de Lider,-33.4486393,-70.580456
Express de Lider,-33.4451887,-70.5994492
Express de Lider,-33.453544,-70.6216162
Jumbo,-33.3214565,-70.6461236
Jumbo,-33.2859788,-70.7000345
Jumbo,-33.4246863,-70.654728
Jumbo,-33.511334,-70.6102933
Jumbo,-33.4300363,-70.5787364
Jumbo,-33.3908833,-70.5462013
Jumbo,-33.4279259,-70.5408096
Jumbo,-33.4019444,-70.5144444
Jumbo,-33.3573513,-70.5151516
Jumbo,-33.3429457,-70.5446907
Jumbo,-33.4801799,-70.7516006
Jumbo,-33.4972166,-70.7583808
Jumbo,-33.4653165,-70.5974595
Jumbo,-33.4881439,-70.5567856
Jumbo,-33.4181063,-70.6082252
Jumbo,-33.5711381,-70.5847144
Jumbo,-33.6118321,-70.5766256
Jumbo,-33.633671,-70.7092268
Jumbo,-33.4859744,-70.6516071
Jumbo,-33.3998052,-70.5924004
Santa Isabel,-33.6371045,-70.5764507
Santa Isabel,-33.3731374,-70.682323
Santa Isabel,-33.5595189,-70.7843113
Santa Isabel,-33.6154466,-70.684809
Santa Isabel,-33.4076958,-70.553731
Santa Isabel,-33.4107099,-70.5671169
Santa Isabel,-33.4408033,-70.6520075
Santa Isabel,-33.435676,-70.591395
Santa Isabel,-33.4548663,-70.6295797
Santa Isabel,-33.6233363,-70.7988698
Santa Isabel,-33.3740919,-70.5187076
Santa Isabel,-33.4240619,-70.7089945
Santa Isabel,-33.5605104,-70.7867699
Santa Isabel,-33.2066092,-70.6663387
Santa Isabel,-33.4388201,-70.6589594
Santa Isabel,-33.4786583,-70.5448473
Santa Isabel,-33.4036121,-71.1323014
Santa Isabel,-33.3986463,-70.6694979
Santa Isabel,-33.4442571,-70.6564865
Santa Isabel,-33.5495287,-70.5689877
Santa Isabel,-33.5498853,-70.6728203
Santa Isabel,-33.5475518,-70.7894644
Santa Isabel,-33.3530895,-70.5103297
Santa Isabel,-33.5973647,-70.5095549
Santa Isabel,-33.4517285,-70.6798013
Santa Isabel,-33.6084644,-70.7057884
Santa Isabel,-33.4228802,-70.538532
Santa Isabel,-33.4723205,-70.6423664
Santa Isabel,-33.4517232,-70.6641075
Santa Isabel,-33.4706022,-70.57539
Santa Isabel,-33.4398218,-70.6574624
Santa Isabel,-33.5384545,-70.6640511
Santa Isabel,-33.5179003,-70.6586837
Santa Isabel,-33.4912381,-70.7771748
Santa Isabel,-33.5401657,-70.5724154
Santa Isabel,-33.5281695,-70.6349705
Santa Isabel,-33.7410535,-70.8618942
Santa Isabel,-33.5865384,-70.6292544
Santa Isabel,-33.4503753,-70.7633431
Santa Isabel,-33.4528206,-70.5607959
Santa Isabel,-33.4576117,-70.7122395
Santa Isabel,-33.3828935,-70.7301354
Santa Isabel,-33.3594296,-70.7452756
Santa Isabel,-33.4075974,-70.5455971
Santa Isabel,-33.5509035,-70.6192834
Santa Isabel,-33.509606,-70.7580121
Santa Isabel,-33.6920396,-71.2149362
Santa Isabel,-33.4338719,-70.6498413
Santa Isabel,-33.5011426,-70.6683361
Santa Isabel,-33.5693042,-70.8156442
Santa Isabel,-33.8086459,-70.7418034
Santa Isabel,-33.4773072,-70.7405429
Santa Isabel,-33.4862461,-70.7496261
Santa Isabel,-33.4518488,-70.5408096
Santa Isabel,-33.3473927,-70.6700098
Santa Isabel,-33.6105711,-70.8813926
Santa Isabel,-33.4408143,-70.5426223
Santa Isabel,-33.601623,-70.5791842
Santa Isabel,-33.4431255,-70.6375818
Santa Isabel,-33.4219353,-70.6106651
Santa Isabel,-33.402455,-70.643591
Santa Isabel,-33.4067666,-70.7013277
Santa Isabel,-33.4483193,-70.6513748
Santa Isabel,-33.4410838,-70.7018853
Santa Isabel,-33.6600439,-70.9181163
Santa Isabel,-33.5035016,-70.561493
Santa Isabel,-33.5043251,-70.7802194
Santa Isabel,-33.5464428,-70.5895654
Santa Isabel,-33.3637085,-70.7374389
Santa Isabel,-33.6810869,-71.2021072
Santa Isabel,-33.3915023,-70.5719739
Santa Isabel,-33.419685,-70.6629922
Tottus,-33.3902321,-70.6197329
Tottus,-33.2049306,-70.6753691
Tottus,-33.3541036,-70.678443
Tottus,-33.4538127,-70.6522577
Tottus,-33.3571388,-70.7297173
Tottus,-33.4230856,-70.6453112
Tottus,-33.4505688,-70.6321822
Tottus,-33.4187035,-70.6637211
Tottus,-33.4526736,-70.6822765
Tottus,-33.4388976,-70.6632246
Tottus,-33.5625753,-70.6816606
Tottus,-33.5395221,-70.6651126
Tottus,-33.5238031,-70.5987908
Tottus,-33.5178561,-70.7139526
Tottus,-33.5224781,-70.5575121
Tottus,-33.5693035,-70.5561247
Tottus,-33.5976477,-70.5769237
Tottus,-33.7316516,-70.7348746
Tottus,-33.67997,-70.97968
Tottus,-33.6846107,-71.2134975
Tottus,-33.5713965,-70.8179451
Tottus,-33.6076323,-70.9003389
Tottus,-33.6565933,-70.912239
Tottus,-33.6630601,-70.9317384
Tottus,-33.3036621,-70.6663798
Tottus,-33.4417598,-70.6256687
Tottus,-33.4155275,-70.5402562
Tottus,-33.4524377,-70.5694704
Tottus,-33.499291,-70.5552495
Tottus,-33.3837415,-70.5494549
Tottus,-33.3867539,-70.5655599
Tottus,-33.5944161,-70.699562
Tottus,-33.5917431,-70.7038582
Unimarc,-33.4028684,-71.1292949
Unimarc,-33.2309453,-70.8076518
Unimarc,-33.2938859,-70.8682015
Unimarc,-33.4704962,-70.5911147
Unimarc,-33.5392931,-70.590867
Unimarc,-33.5133757,-70.6061202
Unimarc,-33.5267162,-70.5963419
